time,speed,number_of_reads,region_id,bus_count
2015-01-11T23:50:26,19.77,589,13,43
2015-01-11T23:50:26,18.41,662,13,46
2015-01-11T23:50:26,19.09,645,13,47
2015-01-11T23:50:26,18.41,670,13,44
2015-01-11T23:50:26,18.41,666,13,47
2015-01-11T23:50:26,17.73,724,13,49
2015-01-11T23:50:26,19.09,728,13,48
2015-01-11T23:50:26,17.73,821,13,56
2015-01-11T23:50:26,15.68,796,13,53
2015-01-11T23:50:26,16.36,855,13,57
2015-01-11T23:50:26,15.68,933,13,65
2015-01-11T23:50:26,16.36,943,13,61
2015-01-11T23:50:26,15.68,885,13,61
2015-01-11T23:50:26,15.68,882,13,56
2015-01-11T23:50:26,15,907,13,61
2015-01-11T23:50:26,14.32,874,13,65
2015-01-11T23:50:26,15,1029,13,65
2015-01-11T23:50:26,13.64,1008,13,64
2015-01-11T23:50:26,13.64,910,13,61
2015-01-11T23:50:26,12.95,888,13,57
2015-01-11T23:50:26,15,983,13,65
2015-01-11T23:50:26,15,831,13,57
2015-01-11T23:50:26,15,886,13,62
2015-01-11T23:50:26,15.68,843,13,52
2015-01-11T23:50:26,15.68,952,13,59
2015-01-11T23:50:26,16.02,1011,13,67
2015-01-11T23:50:26,16.36,981,13,72
2015-01-11T23:50:26,15.68,988,13,61
2015-01-11T23:50:26,15,909,13,55
2015-01-11T23:50:26,15.68,812,13,59
2015-01-11T23:50:26,15.68,925,13,59
2015-01-11T23:50:26,15,949,13,64
2015-01-11T23:50:26,15.68,878,13,57
2015-01-11T23:50:26,15.68,913,13,66
2015-01-11T23:50:26,15.68,920,13,62
2015-01-11T23:50:26,15.95,885,13,62
2015-01-11T23:50:26,15.68,992,13,63
2015-01-11T23:50:26,16.36,975,13,67
2015-01-11T23:50:26,17.05,871,13,58
2015-01-11T23:50:26,16.36,980,13,63
2015-01-11T23:50:26,15.68,928,13,60
2015-01-11T23:50:26,17.05,803,13,60
2015-01-11T23:50:26,17.05,876,13,56
2015-01-11T23:50:26,16.36,940,13,62
2015-01-11T23:50:26,17.05,852,13,55
2015-01-11T23:50:26,16.36,752,13,50
2015-01-11T23:50:26,17.73,823,13,54
2015-01-11T23:50:26,17.05,818,13,54
2015-01-11T23:50:26,16.36,792,13,60
2015-01-11T23:50:26,17.05,888,13,61
2015-01-11T23:50:26,17.05,832,13,62
2015-01-11T23:50:26,16.36,825,13,55
2015-01-11T23:50:26,17.05,805,13,58
2015-01-11T23:50:26,17.05,830,13,57
2015-01-11T23:50:26,17.05,886,13,58
2015-01-11T23:50:26,17.05,737,13,52
2015-01-11T23:50:26,17.05,766,13,54
2015-01-11T23:50:26,16.36,761,13,53
2015-01-11T23:50:26,18.41,746,13,56
2015-01-11T23:50:26,17.05,738,13,50
2015-01-11T23:50:26,19.77,681,13,49
2015-01-11T23:50:26,17.01,728,13,52
2015-01-11T23:50:26,19.77,733,13,47
2015-01-11T23:50:26,18.41,769,13,47
2015-01-11T23:50:26,17.05,648,13,53
2015-01-11T23:50:26,19.77,685,13,45
2015-01-11T23:50:26,21.14,622,13,44
2015-01-11T23:50:26,21.82,553,13,38
2015-01-11T23:50:26,19.77,587,13,44
2015-01-11T23:50:26,21.14,612,13,43
2015-01-11T23:50:26,19.77,553,13,40
2015-01-11T23:50:26,20.45,629,13,41
2015-01-11T23:50:26,21.14,524,13,36
2015-01-11T23:50:26,20.45,614,13,38
2015-01-11T23:50:26,19.09,511,13,36
2015-01-11T23:50:26,19.77,423,13,34
2015-01-11T23:50:26,21.82,446,13,30
2015-01-11T23:50:26,19.77,498,13,33
2015-01-11T23:50:26,20.45,469,13,33
2015-01-11T23:50:26,19.77,409,13,31
2015-01-11T23:50:26,20.45,436,13,29
2015-01-11T23:50:26,21.82,368,13,32
2015-01-11T23:50:26,20.45,393,13,25
2015-01-11T23:50:26,21.14,399,13,28
2015-01-11T23:50:26,21.14,282,13,22
2015-01-11T23:50:26,21.82,371,13,27
